-10 62,2503
-9,9 61,29388
-9,8 60,34496
-9,7 59,40354
-9,6 58,46962
-9,5 57,5432
-9,4 56,62428
-9,3 55,71286
-9,2 54,80894
-9,1 53,91252
-9 53,0236
-8,9 52,14218
-8,8 51,26826
-8,7 50,40184
-8,60000000000001 49,54292
-8,50000000000001 48,6915
-8,40000000000001 47,8475800000001
-8,30000000000001 47,01116
-8,20000000000001 46,1822400000001
-8,10000000000001 45,3608200000001
-8,00000000000001 44,5469000000001
-7,90000000000001 43,7404800000001
-7,80000000000001 42,9415600000001
-7,70000000000001 42,1501400000001
-7,60000000000001 41,3662200000001
-7,50000000000001 40,5898000000001
-7,40000000000001 39,8208800000001
-7,30000000000001 39,0594600000001
-7,20000000000001 38,3055400000001
-7,10000000000001 37,5591200000001
-7,00000000000001 36,8202000000001
-6,90000000000001 36,0887800000001
-6,80000000000001 35,3648600000001
-6,70000000000001 34,6484400000001
-6,60000000000001 33,9395200000001
-6,50000000000001 33,2381000000001
-6,40000000000001 32,5441800000001
-6,30000000000001 31,8577600000001
-6,20000000000001 31,1788400000001
-6,10000000000001 30,5074200000001
-6,00000000000001 29,8435000000001
-5,90000000000001 29,1870800000001
-5,80000000000001 28,5381600000001
-5,70000000000002 27,8967400000001
-5,60000000000002 27,2628200000001
-5,50000000000002 26,6364000000001
-5,40000000000002 26,0174800000001
-5,30000000000002 25,4060600000001
-5,20000000000002 24,8021400000001
-5,10000000000002 24,2057200000001
-5,00000000000002 23,6168000000001
-4,90000000000002 23,0353800000001
-4,80000000000002 22,4614600000001
-4,70000000000002 21,8950400000001
-4,60000000000002 21,3361200000001
-4,50000000000002 20,7847000000001
-4,40000000000002 20,2407800000001
-4,30000000000002 19,7043600000001
-4,20000000000002 19,1754400000001
-4,10000000000002 18,6540200000001
-4,00000000000002 18,1401000000001
-3,90000000000002 17,6336800000001
-3,80000000000002 17,1347600000001
-3,70000000000002 16,6433400000001
-3,60000000000002 16,1594200000001
-3,50000000000002 15,6830000000001
-3,40000000000002 15,2140800000001
-3,30000000000002 14,7526600000001
-3,20000000000002 14,2987400000001
-3,10000000000002 13,8523200000001
-3,00000000000002 13,4134000000001
-2,90000000000002 12,9819800000001
-2,80000000000002 12,5580600000001
-2,70000000000002 12,1416400000001
-2,60000000000002 11,7327200000001
-2,50000000000002 11,3313000000001
-2,40000000000002 10,9373800000001
-2,30000000000002 10,5509600000001
-2,20000000000002 10,1720400000001
-2,10000000000002 9,80062000000007
-2,00000000000002 9,43670000000007
-1,90000000000002 9,08028000000007
-1,80000000000002 8,73136000000007
-1,70000000000002 8,38994000000007
-1,60000000000002 8,05602000000006
-1,50000000000002 7,72960000000006
-1,40000000000002 7,41068000000006
-1,30000000000002 7,09926000000006
-1,20000000000002 6,79534000000006
-1,10000000000002 6,49892000000006
-1,00000000000002 6,21000000000005
-0,900000000000019 5,92858000000005
-0,800000000000019 5,65466000000005
-0,700000000000019 5,38824000000005
-0,600000000000019 5,12932000000005
-0,500000000000019 4,87790000000005
-0,400000000000019 4,63398000000004
-0,300000000000019 4,39756000000004
-0,200000000000019 4,16864000000004
-0,100000000000019 3,94722000000004
-1,87905246917808E-14 3,73330000000004
9,99999999999812E-02 3,52688000000004
0,199999999999981 3,32796000000004
0,299999999999981 3,13654000000003
0,399999999999981 2,95262000000003
0,499999999999981 2,77620000000003
0,599999999999981 2,60728000000003
0,699999999999981 2,44586000000003
0,799999999999981 2,29194000000003
0,899999999999981 2,14552000000003
0,999999999999981 2,00660000000003
1,09999999999998 1,87518000000002
1,19999999999998 1,75126000000002
1,29999999999998 1,63484000000002
1,39999999999998 1,52592000000002
1,49999999999998 1,42450000000002
1,59999999999998 1,33058000000002
1,69999999999998 1,24416000000001
1,79999999999998 1,16524000000001
1,89999999999998 1,09382000000001
1,99999999999998 1,02990000000001
2,09999999999998 0,973480000000009
2,19999999999998 0,924560000000008
2,29999999999998 0,883140000000007
2,39999999999998 0,849220000000005
2,49999999999998 0,822800000000004
2,59999999999998 0,803880000000002
2,69999999999998 0,792460000000001
2,79999999999998 0,788539999999999
2,89999999999998 0,792119999999998
2,99999999999998 0,803199999999997
3,09999999999998 0,821779999999995
3,19999999999998 0,847859999999995
3,29999999999998 0,881439999999992
3,39999999999998 0,922519999999992
3,49999999999998 0,97109999999999
3,59999999999998 1,02717999999999
3,69999999999998 1,09075999999999
3,79999999999998 1,16183999999999
3,89999999999998 1,24041999999999
3,99999999999998 1,32649999999998
4,09999999999998 1,42007999999998
4,19999999999998 1,52115999999998
4,29999999999998 1,62973999999998
4,39999999999998 1,74581999999998
4,49999999999998 1,86939999999998
4,59999999999998 2,00047999999998
4,69999999999998 2,13905999999997
4,79999999999998 2,28513999999997
4,89999999999998 2,43871999999997
4,99999999999998 2,59979999999997
5,09999999999998 2,76837999999997
5,19999999999998 2,94445999999996
5,29999999999998 3,12803999999996
5,39999999999998 3,31911999999996
5,49999999999998 3,51769999999996
5,59999999999998 3,72377999999995
5,69999999999998 3,93735999999995
5,79999999999998 4,15843999999995
5,89999999999998 4,38701999999995
5,99999999999998 4,62309999999994
6,09999999999998 4,86667999999994
6,19999999999998 5,11775999999994
6,29999999999998 5,37633999999994
6,39999999999998 5,64241999999993
6,49999999999998 5,91599999999993
6,59999999999997 6,19707999999993
6,69999999999997 6,48565999999993
6,79999999999997 6,78173999999992
6,89999999999997 7,08531999999992
6,99999999999997 7,39639999999992
7,09999999999997 7,71497999999991
7,19999999999997 8,04105999999991
7,29999999999997 8,37463999999991
7,39999999999997 8,7157199999999
7,49999999999997 9,0642999999999
7,59999999999997 9,4203799999999
7,69999999999997 9,78395999999989
7,79999999999997 10,1550399999999
7,89999999999997 10,5336199999999
7,99999999999997 10,9196999999999
8,09999999999997 11,3132799999999
8,19999999999997 11,7143599999999
8,29999999999997 12,1229399999999
8,39999999999997 12,5390199999999
8,49999999999997 12,9625999999999
8,59999999999997 13,3936799999999
8,69999999999997 13,8322599999999
8,79999999999997 14,2783399999998
8,89999999999997 14,7319199999998
8,99999999999997 15,1929999999998
9,09999999999997 15,6615799999998
9,19999999999997 16,1376599999998
9,29999999999997 16,6212399999998
9,39999999999996 17,1123199999998
9,49999999999996 17,6108999999998
9,59999999999996 18,1169799999998
9,69999999999996 18,6305599999998
9,79999999999996 19,1516399999998
9,89999999999996 19,6802199999998
9,99999999999996 20,2162999999998
